gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableOMCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,DispatchEmissions_tNOx_per_typical_yr,DispatchEmissions_tSO2_per_typical_yr,DispatchEmissions_tCH4_per_typical_yr
Biomass_IGCC,Central,BioSolid,2020,0,0,0,0,0,0
Biomass_IGCC,Central,BioSolid,2030,0,0,0,0,0,0
Biomass_IGCC,North,BioSolid,2020,0,0,0,0,0,0
Biomass_IGCC,North,BioSolid,2030,0,0,0,0,0,0
Biomass_IGCC,South,BioSolid,2020,0,0,0,0,0,0
Biomass_IGCC,South,BioSolid,2030,0,0,0,0,0,0
Biomass_IGCC_CCS,North,BioSolid,2030,0,0,0,0,0,0
Biomass_IGCC_CCS,South,BioSolid,2030,0,0,0,0,0,0
Central_PV,Central,Solar,2020,0,0,0,0,0,0
Central_PV,Central,Solar,2030,0,0,0,0,0,0
Central_PV,North,Solar,2020,0,0,0,0,0,0
Central_PV,North,Solar,2030,0,0,0,0,0,0
Central_PV,South,Solar,2020,0,0,0,0,0,0
Central_PV,South,Solar,2030,0,0,0,0,0,0
Coal_IGCC,Central,Coal,2020,0,0,0,0,0,0
Coal_IGCC,Central,Coal,2030,0,0,0,0,0,0
Coal_IGCC,North,Coal,2020,0,0,0,0,0,0
Coal_IGCC,North,Coal,2030,0,0,0,0,0,0
Coal_IGCC_CCS,North,Coal,2030,0,0,0,0,0,0
Coal_ST,Central,Coal,2020,14.832,53395,13459,0,0,0
Coal_ST,North,Coal,2020,14.832,50429,12751,0,0,0
Coal_ST,North,Coal,2030,14.832,50429,12751,0,0,0
Commercial_PV,Central,Solar,2020,0,0,0,0,0,0
Commercial_PV,Central,Solar,2030,0,0,0,0,0,0
Commercial_PV,North,Solar,2020,0,0,0,0,0,0
Commercial_PV,North,Solar,2030,0,0,0,0,0,0
Commercial_PV,South,Solar,2020,0,0,0,0,0,0
Commercial_PV,South,Solar,2030,0,0,0,0,0,0
Geothermal,North,Geothermal,2020,8.4906,2.4478e+05,0,0,0,0
Geothermal,North,Geothermal,2030,0,0,0,0,0,0
Geothermal,South,Geothermal,2020,25.472,8.8122e+05,0,0,0,0
Geothermal,South,Geothermal,2030,0,0,0,0,0,0
NG_CC,Central,NaturalGas,2020,63.971,1.7467e+05,22759,0,0,0
NG_CC,Central,NaturalGas,2030,85.887,2.3451e+05,30556,0,0,0
NG_CC,North,NaturalGas,2020,15.323,52300,5451.5,0,0,0
NG_CC,North,NaturalGas,2030,0,0,0,0,0,0
NG_CC,South,NaturalGas,2020,0,0,0,0,0,0
NG_CC,South,NaturalGas,2030,14.279,58483,5080.1,0,0,0
NG_CC_CCS,North,NaturalGas,2030,0,0,0,0,0,0
NG_CC_CCS,South,NaturalGas,2030,0,0,0,0,0,0
NG_GT,Central,NaturalGas,2020,4.12,91652,2271.3,0,0,0
NG_GT,Central,NaturalGas,2030,0,0,0,0,0,0
NG_GT,North,NaturalGas,2020,4.12,1.1457e+05,2271.3,0,0,0
NG_GT,North,NaturalGas,2030,0,0,0,0,0,0
NG_GT,South,NaturalGas,2020,0,0,0,0,0,0
NG_GT,South,NaturalGas,2030,0,0,0,0,0,0
Nuclear,Central,Uranium,2030,0,0,0,0,0,0
Nuclear,North,Uranium,2030,0,0,0,0,0,0
Residential_PV,Central,Solar,2020,0,0,0,0,0,0
Residential_PV,Central,Solar,2030,0,0,0,0,0,0
Residential_PV,North,Solar,2020,0,0,0,0,0,0
Residential_PV,North,Solar,2030,0,0,0,0,0,0
Residential_PV,South,Solar,2020,0,0,0,0,0,0
Residential_PV,South,Solar,2030,0,0,0,0,0,0
Wind,Central,Wind,2020,0,0,0,0,0,0
Wind,Central,Wind,2030,50.363,0,0,0,0,0
Wind,North,Wind,2020,0,0,0,0,0,0
Wind,North,Wind,2030,35.464,0,0,0,0,0
