generation_project,timestamp,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,tp_weight_in_year_hrs,period,is_renewable,DispatchGen_MW,Curtailment_MW,Energy_GWh_typical_yr,VariableOMCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,DispatchEmissions_tNOx_per_typical_yr,DispatchEmissions_tSO2_per_typical_yr,DispatchEmissions_tCH4_per_typical_yr
N-Geothermal,2025011500,N-Geothermal,Geothermal,North,Geothermal,1095.7,2020,False,0.96858,0,1.0613,30598,0,0,0,0
N-Geothermal,2025011512,N-Geothermal,Geothermal,North,Geothermal,1095.7,2020,False,0.96858,0,1.0613,30598,0,0,0,0
N-Geothermal,2025011600,N-Geothermal,Geothermal,North,Geothermal,1095.7,2020,False,0.96858,0,1.0613,30598,0,0,0,0
N-Geothermal,2025011612,N-Geothermal,Geothermal,North,Geothermal,1095.7,2020,False,0.96858,0,1.0613,30598,0,0,0,0
N-Geothermal,2025061500,N-Geothermal,Geothermal,North,Geothermal,2191.5,2020,False,0.96858,0,2.1226,61196,0,0,0,0
N-Geothermal,2025061512,N-Geothermal,Geothermal,North,Geothermal,2191.5,2020,False,0.96858,0,2.1226,61196,0,0,0,0
N-Geothermal,2035011512,N-Geothermal,Geothermal,North,Geothermal,8766,2030,False,0,0,0,0,0,0,0,0
N-Coal_IGCC,2025011500,N-Coal_IGCC,Coal_IGCC,North,Coal,1095.7,2020,False,0,0,0,0,0,0,0,0
N-Coal_IGCC,2025011512,N-Coal_IGCC,Coal_IGCC,North,Coal,1095.7,2020,False,0,0,0,0,0,0,0,0
N-Coal_IGCC,2025011600,N-Coal_IGCC,Coal_IGCC,North,Coal,1095.7,2020,False,0,0,0,0,0,0,0,0
N-Coal_IGCC,2025011612,N-Coal_IGCC,Coal_IGCC,North,Coal,1095.7,2020,False,0,0,0,0,0,0,0,0
N-Coal_IGCC,2025061500,N-Coal_IGCC,Coal_IGCC,North,Coal,2191.5,2020,False,0,0,0,0,0,0,0,0
N-Coal_IGCC,2025061512,N-Coal_IGCC,Coal_IGCC,North,Coal,2191.5,2020,False,0,0,0,0,0,0,0,0
N-Coal_IGCC,2035011512,N-Coal_IGCC,Coal_IGCC,North,Coal,8766,2030,False,0,0,0,0,0,0,0,0
N-Coal_IGCC_CCS,2035011512,N-Coal_IGCC_CCS,Coal_IGCC_CCS,North,Coal,8766,2030,False,0,0,0,0,0,0,0,0
N-Coal_ST,2025011500,N-Coal_ST,Coal_ST,North,Coal,1095.7,2020,False,1.692,0,1.854,6303.6,1593.8,0,0,0
N-Coal_ST,2025011512,N-Coal_ST,Coal_ST,North,Coal,1095.7,2020,False,1.692,0,1.854,6303.6,1593.8,0,0,0
N-Coal_ST,2025011600,N-Coal_ST,Coal_ST,North,Coal,1095.7,2020,False,1.692,0,1.854,6303.6,1593.8,0,0,0
N-Coal_ST,2025011612,N-Coal_ST,Coal_ST,North,Coal,1095.7,2020,False,1.692,0,1.854,6303.6,1593.8,0,0,0
N-Coal_ST,2025061500,N-Coal_ST,Coal_ST,North,Coal,2191.5,2020,False,1.692,0,3.708,12607,3187.7,0,0,0
N-Coal_ST,2025061512,N-Coal_ST,Coal_ST,North,Coal,2191.5,2020,False,1.692,0,3.708,12607,3187.7,0,0,0
N-Coal_ST,2035011512,N-Coal_ST,Coal_ST,North,Coal,8766,2030,False,1.692,0,14.832,50429,12751,0,0,0
N-NG_CC,2025011500,N-NG_CC,NG_CC,North,NaturalGas,1095.7,2020,False,1.88,0,2.06,7031,732.88,0,0,0
N-NG_CC,2025011512,N-NG_CC,NG_CC,North,NaturalGas,1095.7,2020,False,1.5633,0.31672,1.713,5846.5,609.41,0,0,0
N-NG_CC,2025011600,N-NG_CC,NG_CC,North,NaturalGas,1095.7,2020,False,1.88,0,2.06,7031,732.88,0,0,0
N-NG_CC,2025011612,N-NG_CC,NG_CC,North,NaturalGas,1095.7,2020,False,1.7745,0.10552,1.9444,6636.3,691.74,0,0,0
N-NG_CC,2025061500,N-NG_CC,NG_CC,North,NaturalGas,2191.5,2020,False,1.5633,0.31672,3.4259,11693,1218.8,0,0,0
N-NG_CC,2025061512,N-NG_CC,NG_CC,North,NaturalGas,2191.5,2020,False,1.88,0,4.12,14062,1465.8,0,0,0
N-NG_CC,2035011512,N-NG_CC,NG_CC,North,NaturalGas,8766,2030,False,0,0,0,0,0,0,0,0
N-NG_CC_CCS,2035011512,N-NG_CC_CCS,NG_CC_CCS,North,NaturalGas,8766,2030,False,0,0,0,0,0,0,0,0
N-NG_GT,2025011500,N-NG_GT,NG_GT,North,NaturalGas,1095.7,2020,False,0,1.88,0,0,0,0,0,0
N-NG_GT,2025011512,N-NG_GT,NG_GT,North,NaturalGas,1095.7,2020,False,0,1.88,0,0,0,0,0,0
N-NG_GT,2025011600,N-NG_GT,NG_GT,North,NaturalGas,1095.7,2020,False,0,1.88,0,0,0,0,0,0
N-NG_GT,2025011612,N-NG_GT,NG_GT,North,NaturalGas,1095.7,2020,False,0,1.88,0,0,0,0,0,0
N-NG_GT,2025061500,N-NG_GT,NG_GT,North,NaturalGas,2191.5,2020,False,0,1.88,0,0,0,0,0,0
N-NG_GT,2025061512,N-NG_GT,NG_GT,North,NaturalGas,2191.5,2020,False,1.88,0,4.12,1.1457e+05,2271.3,0,0,0
N-NG_GT,2035011512,N-NG_GT,NG_GT,North,NaturalGas,8766,2030,False,0,0,0,0,0,0,0,0
N-Nuclear,2035011512,N-Nuclear,Nuclear,North,Uranium,8766,2030,False,0,0,0,0,0,0,0,0
N-Biomass_IGCC,2025011500,N-Biomass_IGCC,Biomass_IGCC,North,BioSolid,1095.7,2020,False,0,0,0,0,0,0,0,0
N-Biomass_IGCC,2025011512,N-Biomass_IGCC,Biomass_IGCC,North,BioSolid,1095.7,2020,False,0,0,0,0,0,0,0,0
N-Biomass_IGCC,2025011600,N-Biomass_IGCC,Biomass_IGCC,North,BioSolid,1095.7,2020,False,0,0,0,0,0,0,0,0
N-Biomass_IGCC,2025011612,N-Biomass_IGCC,Biomass_IGCC,North,BioSolid,1095.7,2020,False,0,0,0,0,0,0,0,0
N-Biomass_IGCC,2025061500,N-Biomass_IGCC,Biomass_IGCC,North,BioSolid,2191.5,2020,False,0,0,0,0,0,0,0,0
N-Biomass_IGCC,2025061512,N-Biomass_IGCC,Biomass_IGCC,North,BioSolid,2191.5,2020,False,0,0,0,0,0,0,0,0
N-Biomass_IGCC,2035011512,N-Biomass_IGCC,Biomass_IGCC,North,BioSolid,8766,2030,False,0,0,0,0,0,0,0,0
N-Biomass_IGCC_CCS,2035011512,N-Biomass_IGCC_CCS,Biomass_IGCC_CCS,North,BioSolid,8766,2030,False,0,0,0,0,0,0,0,0
N-Residential_PV,2025011500,N-Residential_PV,Residential_PV,North,Solar,1095.7,2020,True,0,0,0,0,0,0,0,0
N-Residential_PV,2025011512,N-Residential_PV,Residential_PV,North,Solar,1095.7,2020,True,0,0,0,0,0,0,0,0
N-Residential_PV,2025011600,N-Residential_PV,Residential_PV,North,Solar,1095.7,2020,True,0,0,0,0,0,0,0,0
N-Residential_PV,2025011612,N-Residential_PV,Residential_PV,North,Solar,1095.7,2020,True,0,0,0,0,0,0,0,0
N-Residential_PV,2025061500,N-Residential_PV,Residential_PV,North,Solar,2191.5,2020,True,0,0,0,0,0,0,0,0
N-Residential_PV,2025061512,N-Residential_PV,Residential_PV,North,Solar,2191.5,2020,True,0,0,0,0,0,0,0,0
N-Residential_PV,2035011512,N-Residential_PV,Residential_PV,North,Solar,8766,2030,True,0,0,0,0,0,0,0,0
N-Commercial_PV,2025011500,N-Commercial_PV,Commercial_PV,North,Solar,1095.7,2020,True,0,0,0,0,0,0,0,0
N-Commercial_PV,2025011512,N-Commercial_PV,Commercial_PV,North,Solar,1095.7,2020,True,0,0,0,0,0,0,0,0
N-Commercial_PV,2025011600,N-Commercial_PV,Commercial_PV,North,Solar,1095.7,2020,True,0,0,0,0,0,0,0,0
N-Commercial_PV,2025011612,N-Commercial_PV,Commercial_PV,North,Solar,1095.7,2020,True,0,0,0,0,0,0,0,0
N-Commercial_PV,2025061500,N-Commercial_PV,Commercial_PV,North,Solar,2191.5,2020,True,0,0,0,0,0,0,0,0
N-Commercial_PV,2025061512,N-Commercial_PV,Commercial_PV,North,Solar,2191.5,2020,True,0,0,0,0,0,0,0,0
N-Commercial_PV,2035011512,N-Commercial_PV,Commercial_PV,North,Solar,8766,2030,True,0,0,0,0,0,0,0,0
N-Central_PV-1,2025011500,N-Central_PV-1,Central_PV,North,Solar,1095.7,2020,True,0,0,0,0,0,0,0,0
N-Central_PV-1,2025011512,N-Central_PV-1,Central_PV,North,Solar,1095.7,2020,True,0,0,0,0,0,0,0,0
N-Central_PV-1,2025011600,N-Central_PV-1,Central_PV,North,Solar,1095.7,2020,True,0,0,0,0,0,0,0,0
N-Central_PV-1,2025011612,N-Central_PV-1,Central_PV,North,Solar,1095.7,2020,True,0,0,0,0,0,0,0,0
N-Central_PV-1,2025061500,N-Central_PV-1,Central_PV,North,Solar,2191.5,2020,True,0,0,0,0,0,0,0,0
N-Central_PV-1,2025061512,N-Central_PV-1,Central_PV,North,Solar,2191.5,2020,True,0,0,0,0,0,0,0,0
N-Central_PV-1,2035011512,N-Central_PV-1,Central_PV,North,Solar,8766,2030,True,0,0,0,0,0,0,0,0
N-Central_PV-2,2025011500,N-Central_PV-2,Central_PV,North,Solar,1095.7,2020,True,0,0,0,0,0,0,0,0
N-Central_PV-2,2025011512,N-Central_PV-2,Central_PV,North,Solar,1095.7,2020,True,0,0,0,0,0,0,0,0
