load_zone,timestamp,normalized_energy_balance_duals_dollar_per_mwh,ZoneTotalCentralDispatch,TXPowerNet,WithdrawFromCentralGrid
Central,2025011500,.,8.3261,-4.419,-3.9071
Central,2025011512,.,7.9403,-4.7724,-3.1679
Central,2025011600,.,8.2322,-4.4307,-3.8015
Central,2025011612,.,8.4817,-4.997,-3.4847
Central,2025061500,.,9.0636,-5.8957,-3.1679
Central,2025061512,.,12.285,-8.0611,-4.2239
Central,2035011512,.,15.543,-10.686,-4.8574
North,2025011500,.,4.5406,0.73925,-5.2798
North,2025011512,.,4.2239,0,-4.2239
North,2025011600,.,4.5406,0.21127,-4.7518
North,2025011612,.,4.4351,0,-4.4351
North,2025061500,.,4.2239,0,-4.2239
North,2025061512,.,6.4206,-0.084783,-6.3358
North,2035011512,.,5.7376,0.59822,-6.3358
South,2025011500,.,2.9057,3.4301,-6.3358
South,2025011512,.,2.9057,4.486,-7.3918
South,2025011600,.,2.9057,3.958,-6.8638
South,2025011612,.,2.9057,4.6972,-7.603
South,2025061500,.,2.9057,5.542,-8.4477
South,2025061512,.,2.9057,7.6539,-10.56
South,2035011512,.,1.6289,9.4587,-11.088
