gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableOMCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,DispatchEmissions_tNOx_per_typical_yr,DispatchEmissions_tSO2_per_typical_yr,DispatchEmissions_tCH4_per_typical_yr
Biomass_IGCC,BioSolid,2020,0,0,0,0,0,0
Biomass_IGCC,BioSolid,2030,0,0,0,0,0,0
Biomass_IGCC_CCS,BioSolid,2030,0,0,0,0,0,0
Central_PV,Solar,2020,0,0,0,0,0,0
Central_PV,Solar,2030,0,0,0,0,0,0
Coal_IGCC,Coal,2020,0,0,0,0,0,0
Coal_IGCC,Coal,2030,0,0,0,0,0,0
Coal_IGCC_CCS,Coal,2030,0,0,0,0,0,0
Coal_ST,Coal,2020,29.664,1.0382e+05,26210,0,0,0
Coal_ST,Coal,2030,14.832,50429,12751,0,0,0
Commercial_PV,Solar,2020,0,0,0,0,0,0
Commercial_PV,Solar,2030,0,0,0,0,0,0
Geothermal,Geothermal,2020,33.962,1.126e+06,0,0,0,0
Geothermal,Geothermal,2030,0,0,0,0,0,0
NG_CC,NaturalGas,2020,79.295,2.2697e+05,28210,0,0,0
NG_CC,NaturalGas,2030,100.17,2.93e+05,35636,0,0,0
NG_CC_CCS,NaturalGas,2030,0,0,0,0,0,0
NG_GT,NaturalGas,2020,8.24,2.0622e+05,4542.7,0,0,0
NG_GT,NaturalGas,2030,0,0,0,0,0,0
Nuclear,Uranium,2030,0,0,0,0,0,0
Residential_PV,Solar,2020,0,0,0,0,0,0
Residential_PV,Solar,2030,0,0,0,0,0,0
Wind,Wind,2020,0,0,0,0,0,0
Wind,Wind,2030,85.827,0,0,0,0,0
